epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,4369.98,0.54464,0.43657,1.01817,0.79199,0.7414,0.7871,0.60694,0.77978,0.79688,1.25284,0.0001156,0.0001156,0.0001156
136,4402.67,0.51849,0.42001,1.01288,0.78279,0.71705,0.78801,0.60779,0.7771,0.8193,1.24067,0.000109,0.000109,0.000109
137,4433.98,0.54924,0.43634,1.02315,0.82197,0.72425,0.79113,0.60554,0.78479,0.79876,1.25242,0.0001024,0.0001024,0.0001024
138,4465.44,0.52388,0.42281,1.01245,0.76737,0.73794,0.79337,0.61698,0.77982,0.79696,1.2449,9.58e-05,9.58e-05,9.58e-05
139,4498.11,0.53453,0.41918,1.0215,0.75311,0.74741,0.7952,0.61323,0.77926,0.7664,1.24944,8.92e-05,8.92e-05,8.92e-05
140,4529.83,0.52183,0.42458,1.01444,0.77791,0.73443,0.79124,0.61474,0.76958,0.76901,1.24087,8.26e-05,8.26e-05,8.26e-05
141,4570.05,0.46906,0.37738,0.97303,0.81181,0.69629,0.78355,0.59937,0.80036,0.79835,1.26613,7.6e-05,7.6e-05,7.6e-05
142,4599.85,0.44475,0.33017,0.95603,0.8143,0.70279,0.78484,0.59981,0.78667,0.78772,1.25341,6.94e-05,6.94e-05,6.94e-05
143,4629.94,0.44126,0.32725,0.96105,0.79157,0.71395,0.78731,0.6045,0.78731,0.79096,1.25807,6.28e-05,6.28e-05,6.28e-05
144,4661.18,0.43277,0.30704,0.94958,0.7797,0.72926,0.79305,0.60859,0.78293,0.78169,1.24731,5.62e-05,5.62e-05,5.62e-05
145,4692.29,0.42878,0.30728,0.95018,0.78435,0.71808,0.78922,0.60906,0.77997,0.7799,1.2486,4.96e-05,4.96e-05,4.96e-05
146,4722.5,0.42063,0.30752,0.94489,0.75933,0.74071,0.78621,0.60723,0.77468,0.77887,1.24391,4.3e-05,4.3e-05,4.3e-05
147,4753.83,0.42267,0.30618,0.94007,0.77044,0.71915,0.78435,0.60699,0.77424,0.77398,1.24248,3.64e-05,3.64e-05,3.64e-05
148,4784.49,0.42541,0.30409,0.94678,0.77892,0.71844,0.78885,0.61039,0.77911,0.78648,1.24859,2.98e-05,2.98e-05,2.98e-05
149,4815.63,0.42686,0.30792,0.94742,0.74415,0.74359,0.78104,0.60457,0.77564,0.79207,1.24741,2.32e-05,2.32e-05,2.32e-05
150,4846.13,0.41216,0.29311,0.9349,0.74473,0.74388,0.77878,0.60141,0.77686,0.79332,1.25012,1.66e-05,1.66e-05,1.66e-05
